-7.000000000000000666e-02,2.000000000000000042e-02,9.999999999999995004e-03,2.000000000000000042e-02
9.999999999999995004e-03,2.000000000000000042e-02,1.749999999999999473e-02,1.250000000000000069e-02
1.749999999999999473e-02,1.250000000000000069e-02,1.549999999999999468e-02,1.050000000000000065e-02
1.549999999999999468e-02,1.050000000000000065e-02,2.049999999999999392e-02,1.050000000000000065e-02
2.049999999999999392e-02,1.050000000000000065e-02,2.499999999999999445e-02,1.500000000000000118e-02
2.499999999999999445e-02,1.500000000000000118e-02,2.749999999999999320e-02,1.500000000000000118e-02
2.749999999999999320e-02,1.500000000000000118e-02,2.749999999999999320e-02,0.000000000000000000e+00
-7.000000000000000666e-02,2.999999999999999889e-02,1.818162338159264035e-02,2.999999999999999889e-02
1.818162338159264035e-02,2.999999999999999889e-02,2.159081169079632087e-02,3.340918830920367594e-02
2.159081169079632087e-02,3.340918830920367594e-02,1.549999999999999989e-02,3.949999999999999345e-02
1.549999999999999989e-02,3.949999999999999345e-02,2.050000000000000086e-02,3.949999999999999345e-02
2.050000000000000086e-02,3.949999999999999345e-02,2.500000000000000139e-02,3.499999999999998945e-02
2.500000000000000139e-02,3.499999999999998945e-02,2.750000000000000014e-02,3.499999999999998945e-02
2.750000000000000014e-02,3.499999999999998945e-02,2.750000000000000014e-02,5.000000000000000278e-02
1.381837661840735511e-02,2.000000000000000042e-02,2.199999999999999872e-02,2.000000000000000042e-02
2.199999999999999872e-02,2.000000000000000042e-02,2.199999999999999872e-02,2.999999999999999889e-02
2.199999999999999872e-02,2.999999999999999889e-02,2.350000000000000006e-02,3.150000000000000022e-02
2.350000000000000006e-02,3.150000000000000022e-02,2.750000000000000014e-02,2.750000000000000014e-02
2.750000000000000014e-02,2.750000000000000014e-02,2.875000000000000333e-01,2.750000000000000014e-02
2.875000000000000333e-01,2.750000000000000014e-02,2.875000000000000333e-01,2.249999999999999917e-02
2.875000000000000333e-01,2.249999999999999917e-02,2.750000000000002442e-02,2.249999999999999917e-02
2.750000000000002442e-02,2.249999999999999917e-02,1.940918830920370514e-02,1.440918830920367814e-02
1.940918830920370514e-02,1.440918830920367814e-02,1.381837661840735511e-02,2.000000000000000042e-02
